Part,Part,Backspace,Forced100,Time

1,Lesson 14 - Part 3 - Learn Z,0,0,120
2,Lesson 14 - Part 4 - Learn Y,0,0,120
3,Lesson 15 - Part 2 - Learn Q,0,0,120
4,Lesson 15 - Part 3 - Learn Comma,0,0,120
5,Lesson 17 - Part 2 - Learn V,0,0,120
6,Lesson 17 - Part 3 - Learn Colon,0,0,120
7,Lesson 18 - Part 3 - Learn CAPS LOCKB,0,0,120
8,Lesson 18 - Part 4 - Learn Question,0,0,120
9,Lesson 19 - Part 2 - Learn Apostrophe,0,0,120
10,Lesson 19 - Part 3 - Learn Quotation,0,0,120
11,Lesson 20 - Part 1,0,0,120
12,Lesson 20 - Part 2,0,0,120
13,Lesson 20 - Part 3,0,0,120
14,Lesson 20 - Part 4,0,0,120
15,Lesson 20 - Part 5,0,0,120
